well,interaction,phage,timepoint
A1,none,none,none
A2,none,none,none
A3,none,none,none
A4,none,none,none
A5,none,none,none
A6,none,none,none
A7,none,none,none
A8,none,none,none
A9,none,none,none
A10,none,none,none
A11,none,none,none
A12,none,none,none
B1,none,none,none
B2,Smono,Phi,0
B3,Smono,Phi,0
B4,Smono,Phi,0
B5,Smono,Phi,2
B6,Smono,Phi,2
B7,Smono,Phi,2
B8,Smono,Phi,4
B9,Smono,Phi,4
B10,Smono,Phi,4
B11,none,none,none
B12,none,none,none
C1,none,none,none
C2,Smono,Phi,8
C3,Smono,Phi,8
C4,Smono,Phi,8
C5,Smono,Phi,12
C6,Smono,Phi,12
C7,Smono,Phi,12
C8,Smono,Phi,24
C9,Smono,Phi,24
C10,Smono,Phi,24
C11,none,none,none
C12,none,none,none
D1,none,none,none
D2,Smono,Phi,30
D3,Smono,Phi,30
D4,Smono,Phi,30
D5,none,Phi,0
D6,none,Phi,0
D7,none,Phi,0
D8,Smono,none,0
D9,Smono,none,0
D10,Smono,none,0
D11,none,none,none
D12,none,none,none
E1,none,none,none
E2,Smono,none,2
E3,Smono,none,2
E4,Smono,none,2
E5,Smono,none,4
E6,Smono,none,4
E7,Smono,none,4
E8,Smono,none,8
E9,Smono,none,8
E10,Smono,none,8
E11,none,none,none
E12,none,none,none
F1,none,none,none
F2,Smono,none,12
F3,Smono,none,12
F4,Smono,none,12
F5,Smono,none,24
F6,Smono,none,24
F7,Smono,none,24
F8,Smono,none,30
F9,Smono,none,30
F10,Smono,none,30
F11,none,none,none
F12,none,none,none
G1,none,none,none
G2,none,none,none
G3,none,none,none
G4,none,none,none
G5,none,none,none
G6,none,none,none
G7,none,none,none
G8,none,none,none
G9,none,none,none
G10,none,none,none
G11,none,none,none
G12,none,none,none
H1,none,none,none
H2,none,none,none
H3,none,none,none
H4,none,none,none
H5,none,none,none
H6,none,none,none
H7,none,none,none
H8,none,none,none
H9,none,none,none
H10,none,none,none
H11,none,none,none
H12,none,none,none
